config,strategy,log_ei,gradient_clip,perturbation_scale,leaky_relu,final_ei,pred_error_rate,cosine_sim,exemplar_idx
cd_baseline,coordinate_descent,false,,0.1,false,0.00123,0.1786,0.029,0
cd_log_ei,coordinate_descent,true,,0.1,false,0.00428,0.1603,0.002,12
cd_log_ei_clip,coordinate_descent,true,1.0,0.1,false,0.00503,0.1736,-0.078,9
cd_log_ei_perturb,coordinate_descent,true,,0.5,false,0.00428,0.1603,0.002,12
cd_all,coordinate_descent,true,1.0,1.0,true,0.00202,0.1489,0.021,7
gs_baseline,gumbel_softmax,false,,,false,0.00123,0.1739,0.023,9
gs_log_ei,gumbel_softmax,true,,,false,0.00123,0.1704,0.015,9
gs_log_ei_clip,gumbel_softmax,true,1.0,,false,0.00123,0.1739,0.063,9
gs_leaky,gumbel_softmax,true,,,true,0.00069,0.1726,0.012,9
gs_all,gumbel_softmax,true,1.0,,true,0.00069,0.1699,0.059,9
